indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson,%_variacion,fecha_chequeo,price_usd
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1695,2025-12-08 11:36:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.65,2025-12-08,1.18
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1693,2025-12-11 09:32:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.12,2025-12-11,1.18
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1674,2025-12-15 06:14:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-1.12,2025-12-15,1.16
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1667,2025-12-16 06:16:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.42,2025-12-16,1.15
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1663,2025-12-17 06:08:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.24,2025-12-17,1.15
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2025-12-18 10:37:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.18,2025-12-18,1.14
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1666,2025-12-23 06:08:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.36,2025-12-23,1.15
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1664,2025-12-31 06:18:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.12,2025-12-31,1.14
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1658,2026-01-07 06:29:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.36,2026-01-07,1.13
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2026-01-12 06:39:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.12,2026-01-12,1.13
