indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson,%_variacion
2025-11,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1640,2025-11-28 06:36:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.68
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1662,2025-12-01 06:36:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",1.34
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1674,2025-12-03 06:37:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.72
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1684,2025-12-05 07:01:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.6
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1695,2025-12-08 11:36:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.65
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1693,2025-12-11 09:32:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.12
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1674,2025-12-15 06:14:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-1.12
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1667,2025-12-16 06:16:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.42
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1663,2025-12-17 06:08:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.24
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2025-12-18 10:37:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.18
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1666,2025-12-23 06:08:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.0
2025-12,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1664,2025-12-31 06:18:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}"
2025-12,10312,30-71691343-7,SAN MONTE GAS S.A.,"Ruta Nacional 3 Km 112,3",SAN MIGUEL DEL MONTE,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1616,2025-12-29 19:31:00,2,YPF,-35.45136,-58.82395,"{""type"":""Point"",""coordinates"":[-58.82395,-35.45136]}"
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1658,2026-01-07 06:29:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}"
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2026-01-12 06:39:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}"
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1658,2026-01-13 06:06:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}"
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2026-01-14 06:11:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}"
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1663,2026-01-23 06:09:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}"
2025-12,10312,30-71691343-7,SAN MONTE GAS S.A.,"Ruta Nacional 3 Km 112,3",SAN MIGUEL DEL MONTE,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1616,2025-12-29 19:31:00,2,YPF,-35.45136,-58.82395,"{""type"":""Point"",""coordinates"":[-58.82395,-35.45136]}"
