fecha,valor,indice
1957-07-31,1.8,966.7963
1957-08-31,5.4,1019.0033
1957-09-30,-0.2,1016.9653
1957-10-31,1.1,1028.1519
1957-11-30,2.5,1053.8557
1957-12-31,0.0,1053.8557
1958-01-31,-2.6,1026.4554
1958-02-28,1.4,1040.8258
1958-03-31,1.7,1058.5199
1958-04-30,4.3,1104.0362
1958-05-31,6.5,1175.7986
1958-06-30,4.4,1227.5337
1958-07-31,3.6,1271.7249
1958-08-31,4.6,1330.2243
1958-09-30,1.9,1355.4985
1958-10-31,3.0,1396.1635
1958-11-30,5.1,1467.3678
1958-12-31,8.4,1590.6267
1959-01-31,17.8,1873.7583
1959-02-28,9.1,2044.2703
1959-03-31,7.3,2193.502
1959-04-30,8.3,2375.5627
1959-05-31,10.4,2622.6212
1959-06-30,6.3,2787.8463
1959-07-31,3.1,2874.2696
1959-08-31,3.8,2983.4918
1959-09-30,1.8,3037.1947
1959-10-31,0.6,3055.4178
1959-11-30,2.1,3119.5816
1959-12-31,2.9,3210.0495
1960-01-31,2.7,3296.7208
1960-02-29,0.8,3323.0946
1960-03-31,0.7,3346.3562
1960-04-30,-0.1,3343.0099
1960-05-31,-0.2,3336.3239
1960-06-30,-0.5,3319.6422
1960-07-31,0.9,3349.519
1960-08-31,0.5,3366.2666
1960-09-30,0.1,3369.6329
1960-10-31,0.8,3396.5899
1960-11-30,2.5,3481.5047
1960-12-31,9.2,3801.8031
1961-01-31,-6.1,3569.8931
1961-02-28,1.2,3612.7318
1961-03-31,1.1,3652.4719
1961-04-30,2.2,3732.8263
1961-05-31,0.7,3758.9561
1961-06-30,1.4,3811.5814
1961-07-31,1.5,3868.7552
1961-08-31,0.8,3899.7052
1961-09-30,1.0,3938.7023
1961-10-31,0.1,3942.641
1961-11-30,3.2,4068.8055
1961-12-31,8.7,4422.7915
1962-01-31,-4.0,4245.8799
1962-02-28,1.4,4305.3222
1962-03-31,1.6,4374.2074
1962-04-30,3.3,4518.5562
1962-05-31,3.5,4676.7057
1962-06-30,1.5,4746.8563
1962-07-31,4.5,4960.4648
1962-08-31,1.3,5024.9508
1962-09-30,3.7,5210.874
1962-10-31,1.7,5299.4589
1962-11-30,-0.5,5272.9616
1962-12-31,9.7,5784.4388
1963-01-31,-4.1,5547.2769
1963-02-28,0.9,5597.2023
1963-03-31,4.7,5860.2709
1963-04-30,1.6,5954.0352
1963-05-31,0.0,5954.0352
1963-06-30,1.1,6019.5296
1963-07-31,1.5,6109.8225
1963-08-31,0.4,6134.2618
1963-09-30,1.5,6226.2757
1963-10-31,3.1,6419.2903
1963-11-30,2.5,6579.7725
1963-12-31,8.7,7152.2128
1964-01-31,-0.5,7116.4517
1964-02-29,-0.8,7059.5201
1964-03-31,-0.3,7038.3415
1964-04-30,3.8,7305.7985
1964-05-31,0.1,7313.1043
1964-06-30,1.4,7415.4878
1964-07-31,0.4,7445.1497
1964-08-31,-0.5,7407.924
1964-09-30,1.1,7489.4111
1964-10-31,3.9,7781.4982
1964-11-30,1.1,7867.0946
1964-12-31,7.2,8433.5254
1965-01-31,-3.7,8121.485
1965-02-28,4.8,8511.3163
1965-03-31,2.4,8715.5879
1965-04-30,1.0,8802.7438
1965-05-31,2.2,8996.4041
1965-06-30,4.0,9356.2603
1965-07-31,4.4,9767.9357
1965-08-31,2.2,9982.8303
1965-09-30,1.5,10132.5728
1965-10-31,2.6,10396.0197
1965-11-30,3.6,10770.2764
1965-12-31,8.2,11653.439
1966-01-31,-2.3,11385.4099
1966-02-28,2.2,11635.889
1966-03-31,2.2,11891.8785
1966-04-30,2.1,12141.608
1966-05-31,1.0,12263.024
1966-06-30,0.9,12373.3913
1966-07-31,1.6,12571.3655
1966-08-31,1.2,12722.2219
1966-09-30,1.5,12913.0552
1966-10-31,3.2,13326.273
1966-11-30,2.3,13632.7773
1966-12-31,11.1,15146.0156
1967-01-31,-4.7,14434.1528
1967-02-28,2.1,14737.27
1967-03-31,2.2,15061.49
1967-04-30,1.2,15242.2279
1967-05-31,1.0,15394.6501
1967-06-30,4.4,16072.0147
1967-07-31,5.0,16875.6155
1967-08-31,0.3,16926.2423
1967-09-30,0.5,17010.8735
1967-10-31,2.9,17504.1889
1967-11-30,2.3,17906.7852
1967-12-31,7.8,19303.5145
1968-01-31,-3.4,18647.195
1968-02-29,1.0,18833.6669
1968-03-31,-0.6,18720.6649
1968-04-30,-0.4,18645.7823
1968-05-31,0.1,18664.428
1968-06-30,0.3,18720.4213
1968-07-31,-0.1,18701.7009
1968-08-31,0.2,18739.1043
1968-09-30,1.4,19001.4518
1968-10-31,2.0,19381.4808
1968-11-30,0.3,19439.6252
1968-12-31,8.9,21169.7519
1969-01-31,-4.6,20195.9433
1969-02-28,-1.3,19933.396
1969-03-31,1.1,20152.6634
1969-04-30,0.1,20172.8161
1969-05-31,-1.4,19890.3966
1969-06-30,1.0,20089.3006
1969-07-31,1.3,20350.4615
1969-08-31,-0.7,20208.0083
1969-09-30,1.9,20591.9604
1969-10-31,1.5,20900.8398
1969-11-30,0.7,21047.1457
1969-12-31,7.3,22583.5874
1970-01-31,-4.7,21522.1588
1970-02-28,1.4,21823.469
1970-03-31,1.3,22107.1741
1970-04-30,0.8,22284.0315
1970-05-31,0.7,22440.0197
1970-06-30,0.7,22597.0998
1970-07-31,1.2,22868.265
1970-08-31,1.1,23119.8159
1970-09-30,2.0,23582.2123
1970-10-31,4.0,24525.5007
1970-11-30,2.6,25163.1638
1970-12-31,9.2,27478.1748
1971-01-31,-0.3,27395.7403
1971-02-28,3.3,28299.7997
1971-03-31,1.1,28611.0975
1971-04-30,0.9,28868.5974
1971-05-31,2.4,29561.4437
1971-06-30,3.1,30477.8485
1971-07-31,4.3,31788.396
1971-08-31,2.6,32614.8943
1971-09-30,0.9,32908.4283
1971-10-31,1.0,33237.5126
1971-11-30,2.7,34134.9255
1971-12-31,11.9,38196.9816
1972-01-31,5.2,40183.2246
1972-02-29,3.6,41629.8207
1972-03-31,4.2,43378.2732
1972-04-30,4.9,45503.8086
1972-05-31,1.6,46231.8695
1972-06-30,5.5,48774.6223
1972-07-31,5.0,51213.3534
1972-08-31,-0.1,51162.1401
1972-09-30,2.4,52390.0315
1972-10-31,4.8,54904.753
1972-11-30,4.9,57595.0859
1972-12-31,8.8,62663.4534
1973-01-31,4.6,65545.9723
1973-02-28,7.6,70527.4662
1973-03-31,8.6,76592.8283
1973-04-30,4.5,80039.5055
1973-05-31,3.5,82840.8882
1973-06-30,-2.9,80438.5025
1973-07-31,0.0,80438.5025
1973-08-31,0.8,81082.0105
1973-09-30,0.5,81487.4205
1973-10-31,1.6,82791.2193
1973-11-30,0.8,83453.549
1973-12-31,8.1,90213.2865
1974-01-31,-5.7,85071.1292
1974-02-28,1.6,86432.2672
1974-03-31,1.2,87469.4544
1974-04-30,2.8,89918.5992
1974-05-31,3.3,92885.9129
1974-06-30,3.8,96415.5776
1974-07-31,2.3,98633.1359
1974-08-31,1.9,100507.1655
1974-09-30,3.3,103823.902
1974-10-31,3.8,107769.2102
1974-11-30,4.1,112187.7478
1974-12-31,12.7,126435.5918
1975-01-31,2.9,130102.224
1975-02-28,4.6,136086.9263
1975-03-31,8.1,147109.9673
1975-04-30,9.7,161379.6341
1975-05-31,3.9,167673.4399
1975-06-30,21.1,203052.5357
1975-07-31,34.7,273511.7656
1975-08-31,22.5,335051.9128
1975-09-30,10.8,371237.5194
1975-10-31,13.8,422468.2971
1975-11-30,9.0,460490.4438
1975-12-31,19.4,549825.59
1976-01-31,8.9,598760.0675
1976-02-29,19.0,712524.4803
1976-03-31,37.6,980433.6849
1976-04-30,33.9,1312800.704
1976-05-31,12.1,1471649.5892
1976-06-30,2.7,1511384.1281
1976-07-31,4.2,1574862.2615
1976-08-31,5.5,1661479.6859
1976-09-30,10.6,1837596.5326
1976-10-31,8.5,1993792.2379
1976-11-30,8.0,2153295.6169
1976-12-31,14.3,2461216.8901
1977-01-31,8.0,2658114.2413
1977-02-28,8.3,2878737.7233
1977-03-31,7.5,3094643.0526
1977-04-30,6.0,3280321.6357
1977-05-31,6.5,3493542.5421
1977-06-30,7.6,3759051.7753
1977-07-31,7.4,4037221.6066
1977-08-31,11.3,4493427.6482
1977-09-30,8.3,4866382.143
1977-10-31,12.5,5474679.9108
1977-11-30,9.0,5967401.1028
1977-12-31,7.3,6403021.3833
1978-01-31,13.4,7261026.2487
1978-02-28,6.2,7711209.8761
1978-03-31,9.5,8443774.8143
1978-04-30,11.1,9381033.8187
1978-05-31,8.7,10197183.761
1978-06-30,6.5,10860000.7054
1978-07-31,6.6,11576760.752
1978-08-31,7.8,12479748.0906
1978-09-30,6.4,13278451.9684
1978-10-31,9.8,14579740.2614
1978-11-30,8.8,15862757.4044
1978-12-31,9.1,17306268.3282
1979-01-31,12.8,19521470.6742
1979-02-28,7.4,20966059.504
1979-03-31,7.7,22580446.0859
1979-04-30,7.0,24161077.3119
1979-05-31,6.9,25828191.6464
1979-06-30,9.7,28333526.2361
1979-07-31,7.2,30373540.1251
1979-08-31,11.5,33866497.2395
1979-09-30,6.8,36169419.0517
1979-10-31,4.3,37724704.071
1979-11-30,5.1,39648663.9786
1979-12-31,4.5,41432853.8576
1980-01-31,7.2,44416019.3354
1980-02-29,5.3,46770068.3602
1980-03-31,5.8,49482732.325
1980-04-30,6.2,52550661.7292
1980-05-31,5.8,55598600.1095
1980-06-30,5.7,58767720.3157
1980-07-31,4.6,61471035.4503
1980-08-31,3.4,63561050.6556
1980-09-30,4.5,66421297.9351
1980-10-31,7.6,71469316.5781
1980-11-30,4.7,74828374.4573
1980-12-31,3.8,77671852.6867
1981-01-31,4.9,81477773.4683
1981-02-28,4.2,84899839.954
1981-03-31,6.0,89993830.3512
1981-04-30,7.9,97103342.949
1981-05-31,7.5,104386093.6702
1981-06-30,9.4,114198386.4752
1981-07-31,10.2,125846621.8956
1981-08-31,7.9,135788505.0254
1981-09-30,7.1,145429488.8822
1981-10-31,5.8,153864399.2373
1981-11-30,7.2,164942635.9824
1981-12-31,8.8,179457587.9489
1982-01-31,11.9,200813040.9148
1982-02-28,5.3,211456132.0833
1982-03-31,4.7,221394570.2912
1982-04-30,4.2,230693142.2434
1982-05-31,3.1,237844629.653
1982-06-30,7.9,256634355.3956
1982-07-31,16.3,298465755.325
1982-08-31,14.7,342340221.3578
1982-09-30,17.1,400880399.21
1982-10-31,12.7,451792209.9097
1982-11-30,11.3,502844729.6295
1982-12-31,10.6,556146270.9702
1983-01-31,16.0,645129674.3254
1983-02-28,13.0,728996531.9877
1983-03-31,11.3,811373140.1023
1983-04-30,10.3,894944573.5329
1983-05-31,9.1,976384529.7244
1983-06-30,15.8,1130653285.4208
1983-07-31,12.5,1271984946.0984
1983-08-31,17.2,1490766356.8274
1983-09-30,21.4,1809790357.1884
1983-10-31,17.0,2117454717.9104
1983-11-30,19.2,2524006023.7493
1983-12-31,17.7,2970755089.9529
1984-01-31,12.5,3342099476.197
1984-02-29,16.9,3906914287.6743
1984-03-31,20.3,4700017888.0721
1984-04-30,18.5,5569521197.3655
1984-05-31,17.1,6521909322.115
1984-06-30,17.9,7689331090.7736
